Pc,OF,thrust_kN,temp_C,safe,iteration
122.46947496980944,1.9264823198466468,223.50745236996588,344.7013986333374,True,1
32.453206073430124,2.540367603008596,49.93537157832003,293.2473260723717,True,2
141.18704108892646,2.119214055044565,277.8155102246103,373.17810389119416,True,3
57.663574784436804,2.8829823542863373,98.46166451600496,339.26333739434625,True,4
77.7249865890266,3.260153908142158,143.6831512226007,323.99665596096185,True,5
91.95768301740084,2.7231901385473027,179.99783384921648,356.3618169582106,True,6
115.82660604638002,3.2070018674416136,237.86854889174285,333.9190385370051,True,7
197.02350392696903,1.739258952401431,392.9628111313801,368.3346297455459,True,8
100.55622356881338,2.2058236401098656,186.39602460954208,353.21490216352123,True,9
179.09875162778738,2.670065056833444,408.9484967890336,391.8137989043124,True,10
172.71147558784835,3.04151335109209,388.8342640830945,387.46288248237965,True,11
182.88250228828016,2.0343260943307917,384.19081004969604,391.32476257115223,True,12
158.3763275738467,3.15142650021577,346.51975272772785,350.0930060710279,True,13
46.902301653812756,1.6630276242634765,61.886585731204576,342.93311349698706,True,14
116.76324043481684,2.391646551042893,230.4410747629196,327.4345045991278,True,15
66.75388672395776,2.5885543404573794,113.21576134716219,315.72014636377196,True,16
149.42461291256825,2.8141110192851193,327.57071318248103,353.048202207372,True,17
73.96078437346907,2.1615460975487926,124.60296218756405,311.3996088077963,True,18
26.022964558105137,2.3287098110280304,35.75549543410075,297.0440371364907,True,19
106.4117455077964,2.928138281279284,211.78666386907864,340.2925813065946,True,20
85.24659233939401,1.60586728066514,131.1132144987876,350.46739506871734,True,21
52.99151207773493,2.449101082252677,86.13165325664679,341.1457659716599,True,22
156.33742241244408,3.34867118368797,338.1089756223928,353.4624297822419,True,23
20.87196113912517,1.7817684624057275,25.82628633577807,316.3025980367499,True,24
193.53119625756366,2.303752889030395,436.32901923831116,364.27936669995097,True,25
135.05231651201456,2.0005716331461363,259.8931576258612,377.4988596333442,True,26
43.1488055951355,2.766612310758604,69.97116929690141,322.08595236910776,True,27
164.48432057416125,2.987492521648698,368.01412599527174,360.47783129574015,True,28
97.97856554135737,3.2905464259319683,192.97518695651124,365.5150414035948,True,29
132.9851827475531,1.8765819055473756,245.33016740445797,376.83180942701784,True,30
200.0,3.4,457.13017354711116,372.38936751814276,True,31
200.0,3.4,456.4134901501949,372.38936751814276,True,32
200.0,3.4,459.0452519679283,372.38936751814276,True,33
200.0,1.6,381.09976626726615,372.38936751814276,True,34
200.0,3.4,460.42909733547486,372.38936751814276,True,35
200.0,3.4,459.4883590158976,372.38936751814276,True,36
200.0,3.4,458.3104739361078,372.38936751814276,True,37
200.0,3.4,457.6241762647463,372.38936751814276,True,38
200.0,1.6,382.88630753302033,372.38936751814276,True,39
200.0,3.4,460.11586130674414,372.38936751814276,True,40
200.0,3.4,460.64719418672746,372.38936751814276,True,41
200.0,3.4,456.54362942656184,372.38936751814276,True,42
200.0,1.6,386.8352849640156,372.38936751814276,True,43
200.0,3.4,457.6416181386776,372.38936751814276,True,44
200.0,3.4,456.5675928732523,372.38936751814276,True,45
200.0,3.4,462.036396392336,372.38936751814276,True,46
200.0,1.6,385.46484656902277,372.38936751814276,True,47
200.0,3.4,460.8046605991477,372.38936751814276,True,48
200.0,3.4,457.5808852201614,372.38936751814276,True,49
200.0,3.4,461.07062683150394,372.38936751814276,True,50
200.0,3.4,458.71250220207617,372.38936751814276,True,51
200.0,1.6,380.24573204080565,372.38936751814276,True,52
200.0,3.4,457.5889852992173,372.38936751814276,True,53
200.0,3.4,456.4078364573479,372.38936751814276,True,54
200.0,3.4,460.7362640591753,372.38936751814276,True,55
